"created_date","complaint_type","borough","agency_name","status"
"2026-05-03T16:04:08.000","ELECTRIC","MANHATTAN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:04:06.000","Obstruction","QUEENS","Department of Sanitation","Closed"
"2026-05-03T16:04:03.000","Illegal Dumping","STATEN ISLAND","Department of Sanitation","In Progress"
"2026-05-03T16:03:54.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:03:47.000","Elevator","BRONX","Department of Buildings","Open"
"2026-05-03T16:03:47.000","Noise - Street/Sidewalk","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:03:31.000","Unleashed Dog","MANHATTAN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:03:11.000","Blocked Driveway","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:03:00.000","Traffic Signal Condition","BROOKLYN","Department of Transportation","Closed"
"2026-05-03T16:02:28.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:02:25.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:02:24.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:02:22.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:02:14.000","Illegal Parking","BRONX","New York City Police Department","Closed"
"2026-05-03T16:02:00.000","Derelict Vehicles","QUEENS","Department of Sanitation","Closed"
"2026-05-03T16:01:52.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:01:52.000","Maintenance or Facility","BRONX","Department of Parks and Recreation","In Progress"
"2026-05-03T16:01:49.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:01:48.000","Standing Water","QUEENS","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:01:20.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:01:01.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Closed"
"2026-05-03T16:00:54.000","Noise - Park","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:00:38.000","Dirty Condition","BROOKLYN","Department of Sanitation","In Progress"
"2026-05-03T16:00:33.000","Dirty Condition","BROOKLYN","Department of Sanitation","In Progress"
"2026-05-03T16:00:29.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:00:17.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:00:02.000","Maintenance or Facility","BRONX","Department of Parks and Recreation","In Progress"
"2026-05-03T15:59:57.000","Noise - Vehicle","BRONX","New York City Police Department","Closed"
"2026-05-03T15:59:47.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:59:33.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:59:17.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:59:00.000","Noise","BROOKLYN","Department of Environmental Protection","Open"
"2026-05-03T15:58:40.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:58:33.000","Street Condition","MANHATTAN","Department of Transportation","In Progress"
"2026-05-03T15:58:00.000","Sewer","QUEENS","Department of Environmental Protection","Open"
"2026-05-03T15:58:00.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Closed"
"2026-05-03T15:57:45.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Closed"
"2026-05-03T15:57:44.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:57:43.000","PAINT/PLASTER","QUEENS","Department of Housing Preservation and Development","Open"
"2026-05-03T15:57:23.000","Abandoned Vehicle","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:57:23.000","Residential Disposal Complaint","STATEN ISLAND","Department of Sanitation","Closed"
"2026-05-03T15:57:10.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:57:00.000","Water System","BROOKLYN","Department of Environmental Protection","Closed"
"2026-05-03T15:56:57.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:56:51.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:56:51.000","Noise - Vehicle","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:56:42.000","Illegal Parking","STATEN ISLAND","New York City Police Department","Closed"
"2026-05-03T15:56:34.000","Maintenance or Facility","MANHATTAN","Department of Parks and Recreation","In Progress"
"2026-05-03T15:56:28.000","Smoking or Vaping","QUEENS","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T15:56:22.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:55:51.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:55:37.000","Damaged Tree","QUEENS","Department of Parks and Recreation","In Progress"
"2026-05-03T15:55:27.000","Residential Disposal Complaint","BROOKLYN","Department of Sanitation","Closed"
"2026-05-03T15:55:26.000","Rodent","BROOKLYN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T15:55:21.000","Noise - Vehicle","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:55:14.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:55:00.000","Derelict Vehicles","Unspecified","Department of Sanitation","Closed"
"2026-05-03T15:54:51.000","DOOR/WINDOW","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T15:54:46.000","UNSANITARY CONDITION","MANHATTAN","Department of Housing Preservation and Development","Open"
"2026-05-03T15:54:45.000","General Construction/Plumbing","MANHATTAN","Department of Buildings","Open"
"2026-05-03T15:54:42.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:54:42.000","Street Condition","BRONX","Department of Transportation","Open"
"2026-05-03T15:54:38.000","Non-Emergency Police Matter","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:54:10.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:53:56.000","Noise - Street/Sidewalk","BRONX","New York City Police Department","Closed"
"2026-05-03T15:53:47.000","Noise - Residential","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:53:45.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:53:40.000","Smoking or Vaping","BRONX","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T15:53:29.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:53:19.000","Damaged Tree","BRONX","Department of Parks and Recreation","In Progress"
